country,party,year,speech_count,word_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,dominant_topic
CZ,SPOLU,2021,366,13710,0.23103658562057983,0.08308279750300691,0.29275830831192745,0.2871984137857708,4.5822056461767434e-05,4.581980801038711e-05,0.061838574206416475,0.02763327007907405,0.016314587894513056,4.5820734239084854e-05,topic_2
CZ,STAN,2021,666,57126,0.5742229058595684,0.04287073791374499,0.009779506114800687,0.005157285732525594,0.023935510902129507,0.1328911780606197,0.15584347795114808,0.011940860991263584,9.327526579945342e-06,0.04334920894761957,topic_0
CZ,TOP09,2021,1459,145426,0.6928660564456725,0.016095135167288332,0.007279928545219128,0.03364199902067845,0.0048804739174893585,4.044631482786913e-06,0.03907585034424587,0.03869918934556232,4.044696324031142e-06,0.16745327788603726,topic_0
CZ,ANO2011,2022,14494,1498284,0.10350308139639038,0.013008077732528522,0.7000848012272524,0.08095946961088443,0.001897226895185628,0.08239188618107396,0.002126175853215999,0.005608223727676232,0.0053468488390367155,0.005074208536755786,topic_2
CZ,PirSTAN,2022,1562,113286,0.15270567420651598,4.591182877760519e-06,0.27176153496783145,0.2089320206292153,0.004572914688847491,0.18236417295667554,0.04794661561708296,0.10328613794269546,0.02842174664488321,4.591163374864363e-06,topic_2
CZ,Piráti,2022,87,9028,6.318918663092422e-05,6.318852120173357e-05,0.24421068180119318,6.318782855715125e-05,6.319005929756997e-05,6.318740322613464e-05,0.1339588273603611,0.4794052804561887,0.14204607907110553,6.318831223806787e-05,topic_7
CZ,SPD,2022,6086,689722,0.17942736732700434,0.002450425204593018,0.17138045467909607,0.0007265527042291783,0.0018428696339651857,0.002722201737132319,0.0006136285600116428,0.009749843023061177,0.630082439254833,0.0010042178760740115,topic_8
CZ,SPOLU,2022,5102,448439,0.049585788113816726,0.15948298309584086,0.4139980022025824,0.28207067373782435,1.1613444862545883e-06,0.021295779250296753,0.04317837497873954,0.03004183096699129,7.564579885416977e-05,0.000269760510567534,topic_2
CZ,STAN,2022,6,371,0.537493166875491,0.0018873356928465178,0.44740834086224385,0.0018871444180622071,0.0018872541416633459,0.001887413231958801,0.0018873684279094463,0.0018872755303983354,0.0018873476596578402,0.0018873531597686948,topic_0
CZ,ANO2011,2023,10881,1095345,0.005193985306757192,0.012079989259134657,0.7987896325594125,0.0069317136069329925,0.0064632968986897184,0.000516034737536008,0.07306435278063464,0.0037892559914119435,0.0800386435063701,0.013133095353120256,topic_2
CZ,PirSTAN,2023,1542,95497,0.0017623415733821269,0.0006534598857361563,0.26584821649439105,0.5399180322876297,0.0011466614850072746,0.036928391605502174,0.08930816092078891,0.035573782571143006,0.027004096422969578,0.0018568567534500437,topic_3
CZ,Piráti,2023,52,4873,0.000113279237148211,0.00011328090238267362,0.30982666945065274,0.00011328308592310562,0.11245070835802838,0.00011328207605313684,0.00011328405523246978,0.5062098919760787,0.07083304065936043,0.00011328019914016173,topic_7
CZ,SPD,2023,4334,471208,0.0029268425212920315,0.01289345810209685,0.12416697796227277,0.007813784675866143,0.0011807015163943528,0.0026409089009352283,0.026769026928698498,0.0021406736084344066,0.815669283715312,0.003798342068697617,topic_8
CZ,SPOLU,2023,3148,271088,0.0005116504792440784,0.10918482154843408,0.292075447032781,0.3636783768558058,6.136678332140062e-06,0.011150212202507328,0.16251581507945304,0.05032735124639476,0.010198616695123605,0.0003515721819241917,topic_3
CZ,STAN,2023,31,2111,0.000253872537311674,0.0002538719736765434,0.517941761376471,0.21521460493078787,0.15231701328172062,0.000253880004123077,0.0002538865918876541,0.000253879537184195,0.11300335796543058,0.00025387180140694343,topic_2
